recent_quakes_7d,recent_quakes_30d,max_mag_7d,max_mag_30d,energy_index_30d,depth_avg_30d,dist_to_fault_km,seismic_zone,label,lat,lon,date
1,2,4.1,4.3,2867.31,43.0,148.9,5,1,7.536,94.355,2012-11-13
11,12,6.8,6.8,187952.88,21.2,51.1,5,1,23.1,96.013,2012-11-13
0,0,0.0,0.0,0.0,35.0,54.3,2,1,19.121,95.999,2012-11-13
0,0,0.0,0.0,0.0,35.0,71.9,4,1,29.46,81.479,2012-11-11
10,11,6.8,6.8,174617.67,20.5,66.5,5,1,23.132,95.866,2012-11-11
4,15,4.5,5.1,35957.89,136.6,952.7,2,1,36.005,70.393,2012-11-11
9,10,6.8,6.8,170636.6,21.7,64.0,5,1,22.749,95.938,2012-11-11
8,9,6.8,6.8,148249.38,23.4,75.2,5,1,22.72,95.832,2012-11-11
5,5,6.8,6.8,141015.44,15.0,36.1,5,1,22.985,96.148,2012-11-11
4,5,6.8,6.8,137962.73,33.0,76.6,5,1,22.679,95.839,2012-11-11
2,3,6.8,6.8,132302.86,45.0,63.8,5,1,22.794,95.919,2012-11-11
1,2,6.8,6.8,127571.35,58.8,62.5,5,1,22.81,95.926,2012-11-11
0,1,0.0,4.3,1678.8,103.8,62.9,5,1,23.005,95.885,2012-11-11
4,12,4.3,5.0,25600.38,143.3,946.9,2,1,36.123,70.98,2012-11-05
0,0,0.0,0.0,0.0,35.0,106.9,2,1,28.447,86.187,2012-11-05
0,2,0.0,4.0,2000.0,22.5,110.3,5,1,24.893,95.088,2012-11-02
0,3,0.0,5.2,13133.04,36.5,70.5,5,1,26.117,92.337,2012-10-30
2,9,4.2,5.0,21719.92,122.9,974.5,2,1,36.423,71.133,2012-10-28
0,0,0.0,0.0,0.0,35.0,39.2,5,1,10.345,92.575,2012-10-28
0,0,0.0,0.0,0.0,35.0,257.6,2,1,13.694,96.175,2012-10-21
0,2,0.0,5.2,8943.28,36.0,1148.8,2,1,37.535,69.257,2012-10-20
0,0,0.0,0.0,0.0,35.0,72.3,2,1,7.381,91.799,2012-10-20
0,0,0.0,0.0,0.0,35.0,19.2,3,1,23.769,81.314,2012-10-18
3,7,5.1,5.2,22594.4,93.6,972.9,2,1,35.949,69.683,2012-10-15
1,5,4.1,5.2,13539.58,101.5,1012.2,2,1,36.167,69.216,2012-10-14
1,9,4.5,4.7,19309.11,128.3,1002.2,2,1,36.697,71.194,2012-10-13
0,1,0.0,4.7,3349.65,23.2,1180.2,2,1,37.56,95.729,2012-10-13
0,0,0.0,0.0,0.0,35.0,660.8,5,1,34.108,73.698,2012-10-11
1,7,4.4,5.1,20625.91,145.4,951.2,2,1,36.243,71.296,2012-10-10
0,0,0.0,0.0,0.0,35.0,107.2,2,1,4.781,96.425,2012-10-09
0,0,0.0,0.0,0.0,35.0,299.0,2,1,31.832,78.444,2012-10-08
1,4,4.4,5.1,13175.89,153.9,1037.6,2,1,37.178,71.909,2012-10-02
2,2,5.2,5.2,10761.67,35.9,163.1,5,1,26.913,92.939,2012-10-02
1,1,5.2,5.2,7943.28,36.8,168.9,5,1,26.953,92.994,2012-10-02
0,0,0.0,0.0,0.0,35.0,156.6,5,1,26.879,92.818,2012-10-02
1,1,4.6,4.6,2818.38,19.1,407.5,5,1,32.471,76.632,2012-10-02
0,0,0.0,0.0,0.0,35.0,404.2,5,1,32.401,76.507,2012-10-02
0,0,0.0,0.0,0.0,35.0,90.8,5,1,6.107,92.78,2012-09-29
0,0,0.0,0.0,0.0,35.0,1182.5,2,1,37.589,95.837,2012-09-27
3,5,4.4,4.5,7967.68,128.3,1024.0,2,1,36.277,69.211,2012-09-25
0,1,0.0,4.6,2818.38,35.0,132.8,5,1,25.459,96.682,2012-09-22
0,1,0.0,4.6,2818.38,10.0,6.7,2,1,5.034,94.55,2012-09-22
0,4,0.0,5.1,11922.12,151.8,979.3,2,1,36.513,71.325,2012-09-21
0,0,0.0,0.0,0.0,35.0,64.9,5,1,22.035,93.881,2012-09-19
0,0,0.0,0.0,0.0,35.0,73.4,4,1,27.33,88.642,2012-09-18
1,2,4.1,4.3,2867.31,122.6,1011.2,2,1,36.356,69.753,2012-09-14
0,0,0.0,0.0,0.0,35.0,364.1,2,1,30.034,70.133,2012-09-13
1,4,4.1,4.4,6051.07,166.0,996.3,2,1,36.697,71.442,2012-09-12
1,1,4.8,4.8,3981.07,50.5,10.5,5,1,24.41,93.53,2012-09-11
0,0,0.0,0.0,0.0,35.0,118.4,5,1,23.803,94.382,2012-09-11
1,1,4.6,4.6,2818.38,10.0,335.8,2,1,24.647,99.267,2012-09-11
0,0,0.0,0.0,0.0,35.0,339.4,2,1,24.688,99.281,2012-09-11
4,5,5.2,5.2,21665.74,48.3,111.9,5,1,10.433,93.423,2012-09-10
2,3,4.5,5.2,11727.19,47.5,132.4,5,1,10.459,93.616,2012-09-10
1,2,4.2,5.2,9355.82,46.3,108.7,5,1,10.397,93.408,2012-09-10
0,1,0.0,4.0,1000.0,10.0,104.1,5,1,13.643,92.848,2012-09-10
1,1,4.6,4.6,2818.38,41.1,823.1,2,1,36.824,78.717,2012-09-09
0,0,0.0,0.0,0.0,35.0,211.2,2,1,6.566,95.58,2012-09-08
0,0,0.0,0.0,0.0,35.0,64.1,5,1,25.455,91.208,2012-09-06
0,0,0.0,0.0,0.0,35.0,81.5,2,1,4.768,96.184,2012-09-04
0,0,0.0,0.0,0.0,35.0,829.5,2,1,36.891,78.787,2012-09-04
0,0,0.0,0.0,0.0,35.0,502.6,2,1,29.533,67.905,2012-09-02
0,2,0.0,5.1,10033.09,49.7,167.3,5,1,25.175,96.895,2012-08-31
1,2,5.3,5.3,17383.89,31.6,70.2,2,1,5.083,93.872,2012-08-31
0,0,0.0,0.0,0.0,35.0,180.2,2,1,4.409,92.986,2012-08-28
3,5,5.0,5.0,12985.31,23.7,17.0,4,1,28.848,82.022,2012-08-28
0,1,0.0,4.3,1678.8,7.8,40.5,5,1,10.21,92.802,2012-08-27
0,0,0.0,0.0,0.0,35.0,916.8,2,1,35.184,89.69,2012-08-26
0,2,0.0,4.5,4366.64,10.0,89.4,4,1,28.47,82.69,2012-08-23
0,0,0.0,0.0,0.0,35.0,122.4,5,1,26.599,92.57,2012-08-19
4,4,6.2,6.2,50696.82,11.8,741.4,2,1,35.827,82.501,2012-08-19
0,0,0.0,0.0,0.0,35.0,28.9,2,1,5.063,94.753,2012-08-19
0,0,0.0,0.0,0.0,35.0,423.8,2,1,4.475,90.256,2012-08-16
2,2,6.2,6.2,46347.16,15.5,720.2,2,1,35.624,82.505,2012-08-14
0,0,0.0,0.0,0.0,35.0,739.7,5,1,34.849,73.663,2012-08-13
0,0,0.0,0.0,0.0,35.0,724.5,2,1,35.661,82.518,2012-08-12
0,0,0.0,0.0,0.0,35.0,128.8,2,1,28.456,86.74,2012-08-09
2,2,5.0,5.0,10354.93,24.2,424.5,2,1,30.317,94.846,2012-08-09
1,1,4.5,4.5,2371.37,23.3,92.3,5,1,13.942,93.077,2012-08-07
1,1,5.0,5.0,5623.41,24.1,425.8,2,1,30.335,94.855,2012-08-07
0,2,0.0,4.2,2601.04,66.8,732.9,2,1,35.804,77.712,2012-08-06
0,0,0.0,0.0,0.0,35.0,89.9,5,1,13.936,93.099,2012-08-05
0,0,0.0,0.0,0.0,35.0,427.7,2,1,30.352,94.849,2012-08-05
1,1,5.3,5.3,9440.61,36.5,108.7,2,1,4.993,96.347,2012-08-05
0,0,0.0,0.0,0.0,35.0,96.7,2,1,4.857,96.296,2012-08-04
1,5,4.7,5.1,20390.6,29.7,83.1,5,1,26.103,96.324,2012-08-02
0,0,0.0,0.0,0.0,35.0,349.0,3,1,19.564,89.811,2012-08-02
0,4,0.0,5.1,17040.94,26.2,81.3,5,1,26.055,96.311,2012-08-01
0,0,0.0,0.0,0.0,35.0,209.3,2,1,29.972,85.344,2012-08-01
2,9,4.2,5.7,48650.95,137.1,977.2,2,1,36.412,70.989,2012-07-31
0,1,0.0,4.1,1188.5,36.7,52.8,4,1,28.742,82.455,2012-07-31
0,1,0.0,4.4,1995.26,47.6,95.2,5,1,22.935,94.299,2012-07-29
0,1,0.0,4.1,1188.5,36.7,78.1,4,1,29.921,80.647,2012-07-28
2,4,4.6,4.6,8014.83,80.7,999.6,2,1,36.058,69.256,2012-07-25
1,5,4.2,5.7,26987.04,138.6,995.6,2,1,36.065,69.405,2012-07-23
0,2,0.0,4.9,6410.32,15.7,328.2,2,1,29.951,88.041,2012-07-22
1,2,4.4,5.1,8678.7,36.0,145.2,5,1,24.998,96.427,2012-07-22
5,11,5.7,5.7,36841.46,133.1,1057.2,2,1,37.248,71.375,2012-07-19
0,2,0.0,5.6,17527.74,58.1,67.5,5,1,25.424,94.48,2012-07-14
2,8,5.7,5.7,30478.23,132.3,983.7,2,1,36.518,71.17,2012-07-12
1,8,5.7,5.7,29295.36,119.1,973.2,2,1,36.356,70.918,2012-07-12
0,7,0.0,4.4,10458.87,107.9,991.6,2,1,36.527,70.906,2012-07-12
0,0,0.0,0.0,0.0,35.0,124.0,5,1,27.074,90.663,2012-07-10
0,0,0.0,0.0,0.0,35.0,126.1,5,1,25.347,96.529,2012-07-09
0,0,0.0,0.0,0.0,35.0,219.1,2,1,12.69,91.311,2012-07-08
1,1,4.3,4.3,1678.8,21.4,324.0,2,1,29.914,88.011,2012-07-03
0,5,0.0,5.7,34336.52,28.7,983.6,2,1,35.801,68.903,2012-07-02
0,0,0.0,0.0,0.0,35.0,92.4,5,1,25.592,94.696,2012-07-01
1,1,4.5,4.5,2371.37,92.3,815.1,2,1,35.168,72.198,2013-06-29
0,0,0.0,0.0,0.0,35.0,800.1,2,1,33.267,92.907,2013-06-29
0,0,0.0,0.0,0.0,35.0,130.1,5,1,10.623,93.507,2013-06-28
0,0,0.0,0.0,0.0,35.0,47.0,4,1,28.655,82.279,2013-06-28
0,1,0.0,4.6,2818.38,24.2,153.8,2,1,9.379,91.246,2013-06-26
1,10,4.5,4.7,16735.48,171.7,982.2,2,1,36.534,71.299,2013-06-26
0,4,0.0,4.3,5279.84,130.6,1135.9,2,1,37.405,69.249,2013-06-24
1,8,4.1,4.7,12909.34,178.7,921.2,2,1,35.871,70.948,2013-06-24
1,2,4.3,4.3,2678.8,154.6,970.8,2,1,36.891,73.127,2013-06-21
1,12,4.3,4.8,18596.57,157.5,973.3,2,1,36.429,71.206,2013-06-16
0,1,0.0,4.6,2818.38,47.2,29.3,2,1,5.238,94.387,2013-06-16
0,0,0.0,0.0,0.0,35.0,106.8,2,1,10.549,91.699,2013-06-06
0,0,0.0,0.0,0.0,35.0,1183.4,2,1,37.604,95.931,2013-06-05
0,3,0.0,4.7,8378.11,48.5,429.6,5,1,32.672,76.601,2013-06-04
0,0,0.0,0.0,0.0,35.0,103.6,5,1,7.041,94.264,2013-05-22
1,8,4.0,4.4,10744.53,103.3,1001.5,2,1,36.491,70.44,2013-05-20
0,0,0.0,0.0,0.0,35.0,31.4,2,1,5.145,94.257,2013-05-19
4,4,5.2,5.2,17810.49,22.3,401.1,2,1,31.377,86.512,2013-05-16
2,2,5.1,5.1,7871.94,18.8,417.6,2,1,31.504,86.604,2013-05-16
1,1,4.1,4.1,1188.5,10.0,408.9,2,1,31.414,86.589,2013-05-15
2,9,4.7,5.7,34558.59,23.4,504.1,5,1,33.087,75.709,2013-05-14
1,8,4.3,5.7,31208.93,18.6,504.8,5,1,33.101,75.727,2013-05-14
0,0,0.0,0.0,0.0,35.0,396.5,2,1,20.667,99.851,2013-05-06
0,2,0.0,4.2,2601.04,64.3,84.9,5,1,12.887,93.333,2013-05-03
3,4,5.7,5.7,23620.4,19.3,493.3,5,1,33.001,75.764,2013-05-01
1,2,4.5,4.5,3371.37,26.1,495.3,5,1,33.061,75.863,2013-05-01
0,1,0.0,4.0,1000.0,42.2,509.3,5,1,33.152,75.741,2013-04-30
0,2,0.0,4.7,6168.04,33.0,173.5,2,1,5.076,92.858,2013-04-25
0,0,0.0,0.0,0.0,35.0,809.5,2,1,34.526,70.22,2013-04-24
1,1,4.3,4.3,1678.8,54.6,77.5,5,1,22.999,94.028,2013-04-21
0,0,0.0,0.0,0.0,35.0,300.4,2,1,25.953,99.782,2013-04-17
0,0,0.0,0.0,0.0,35.0,277.6,5,1,28.887,95.15,2013-04-16
2,7,5.5,5.5,40549.67,19.5,83.9,2,1,19.281,95.759,2013-04-12
1,2,4.7,4.7,5028.46,36.2,179.1,2,1,4.391,93.004,2013-04-12
2,5,5.1,5.4,25535.65,22.1,96.5,2,1,19.258,95.623,2013-04-11
0,0,0.0,0.0,0.0,35.0,105.7,2,1,18.787,97.479,2013-04-10
0,1,0.0,4.3,1678.8,35.0,101.1,2,1,5.611,93.308,2013-04-09
0,0,0.0,0.0,0.0,35.0,338.0,2,1,30.039,88.051,2013-04-06
3,8,5.3,5.3,21637.25,168.2,969.9,2,1,36.454,71.457,2013-04-05
3,4,5.4,5.4,22717.27,25.2,97.2,2,1,19.243,95.611,2013-04-05
0,0,0.0,0.0,0.0,35.0,539.8,2,1,32.796,73.131,2013-04-04
2,3,5.4,5.4,16033.83,30.0,83.9,2,1,19.247,95.745,2013-04-04
2,8,4.1,4.6,14380.41,129.0,973.1,2,1,36.403,71.106,2013-04-04
1,2,5.4,5.4,13215.45,40.0,83.8,2,1,19.25,95.748,2013-04-03
2,2,4.2,4.2,2825.08,10.0,1148.6,2,1,37.329,97.131,2013-04-03
0,1,0.0,4.4,1995.26,73.9,93.1,2,1,19.223,95.646,2013-04-03
0,0,0.0,0.0,0.0,35.0,54.2,5,1,23.071,95.976,2013-03-30
0,0,0.0,0.0,0.0,35.0,109.9,5,1,11.05,93.477,2013-03-26
2,2,4.5,4.5,3559.88,16.1,720.2,2,1,33.313,95.323,2013-03-25
0,0,0.0,0.0,0.0,35.0,729.3,2,1,33.401,95.346,2013-03-24
1,2,4.5,4.5,4366.64,41.6,130.8,5,1,7.481,94.154,2013-03-20
0,0,0.0,0.0,0.0,35.0,86.2,5,1,12.599,93.703,2013-03-20
0,1,0.0,4.4,1995.26,35.0,146.2,5,1,7.593,94.237,2013-03-19
2,12,4.6,4.9,25793.93,154.6,1011.5,2,1,36.476,70.088,2013-03-18
1,11,4.5,4.9,22975.55,153.1,989.6,2,1,36.5,70.875,2013-03-16
0,9,0.0,4.9,19191.64,167.7,936.4,2,1,36.097,71.264,2013-03-16
0,0,0.0,0.0,0.0,35.0,62.9,5,1,24.362,68.572,2013-03-07
0,0,0.0,0.0,0.0,35.0,39.3,4,1,28.758,82.294,2013-03-06
0,0,0.0,0.0,0.0,35.0,302.0,2,1,25.98,99.812,2013-03-03
2,13,4.4,4.9,26272.88,153.4,978.2,2,1,36.46,71.143,2013-03-03
0,0,0.0,0.0,0.0,35.0,95.7,5,1,24.677,92.222,2013-03-02
0,0,0.0,0.0,0.0,35.0,109.2,5,1,22.609,94.557,2013-02-28
0,1,0.0,4.5,2371.37,15.6,519.3,2,1,29.194,67.554,2013-02-26
2,2,4.2,4.2,2825.08,35.0,219.4,2,1,13.228,95.809,2013-02-26
1,1,5.4,5.4,11220.18,10.0,666.8,2,1,34.319,85.698,2013-02-25
0,0,0.0,0.0,0.0,35.0,662.8,2,1,34.292,85.651,2013-02-25
